Semua Laporan Iklan CPC - Shopee Indonesia
Username,cleorabeauty
Nama Toko,Cleora Beauty Official Shop
ID Toko,215119251
Waktu Laporan Dibuat,22/02/2026 22:35
Periode,21/02/2026 - 21/02/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
22,Cleora Hydro Boost Cleansing Gel Special Bundle 2pcs - Face Wash Brightening With Niacinimide Mencerahkan Dan Memperbaiki Skin Barrier  Skincare Wanita Pria Sabun Cuci Muka For All Skin Type [12],Berjalan,Iklan Produk,22525284872,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,3637,52,1.43%,4,2,7.69%,3.85%,15474.92,30949.84,4,2,424377,229489,61900,6.86,3.71,14.59%,26.97%,-,-,-
23,[TERLARIS] Cleora Beauty Red Saviour Peeling Solution Serum -  With AHA BHA PHA Eksfoliasi Wajah Berminyak Kusam Mencerahkan Skincare Acne Niacinamide Dark Spot Brightening Mengangkat Sel Kulit Mati Kotoran Mugwort Exfoliasi Perawatan Kulit Pria Wanit [12],Berjalan,Iklan Produk,24826043653,-,GMV Max ROAS,Semua Penempatan,15/01/2026 00:00:00,Tidak Terbatas,3201,102,3.19%,4,4,3.92%,3.92%,12607.79,12607.79,4,4,242238,242238,50431,4.80,4.80,20.82%,20.82%,-,-,-
24,[TERLARIS] Cleora UV Glow Protect Shield - Sunscreen Semua Jenis Kulit With Niacinamide Brightening Whitening Skincare Wajah Membantu Mencerahkan & Melembabkan Mudah Meresap Calming Lightening Suncreen Scincare Acne Melindungi Kulit Dari Sinar UVA UVB,Berjalan,Iklan Produk,42414965780,-,GMV Max ROAS,Semua Penempatan,25/08/2025 00:00:00,Tidak Terbatas,3102,68,2.19%,6,4,8.82%,5.88%,17267.02,25900.53,6,4,476026,299496,103602,4.59,2.89,21.76%,34.59%,-,-,-
25,[Beli 2 Lebih Hemat] Calendula Healthy Bright BPOM Body Lotion Isi 2 -  Handbody Wanita Pria Brightening Memudarkan Bekas Luka Body Butter Pereda Eksim [18],Berjalan,Iklan Produk,19473628543,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,2912,64,2.20%,4,4,6.25%,6.25%,25177.14,25177.14,4,4,561376,561376,100709,5.57,5.57,17.94%,17.94%,-,-,-
26,[HOT SALE] Cleora Beauty Red Saviour Peeling Solution Serum | Skincare AHA BHA PHA Eksfoliasi Wajah Berminyak Kusam Mencerahkan Dark Spot Acne & Komedo Brightening Mengangkat Sel Kulit Mati Mugwort Exfoliasi Perawatan Kulit Pria dan Wanita BPOM [20],Berjalan,Iklan Produk,21876014988,-,GMV Max ROAS,Semua Penempatan,15/08/2025 00:00:00,Tidak Terbatas,2912,63,2.16%,4,2,6.35%,3.17%,15090.86,30181.72,4,2,294812,117914,60363,4.88,1.95,20.48%,51.19%,-,-,-
27,[HOT SALE] Cleora Pore Glow Exfoliating Toner 120ml - Skincare Pemutih Wajah Meratakan Warna Kulit Mengangkat Kotoran & Sel Kulit Mati Mencerahkan Brightening Mengurangi Komedo Dan Jerawat Acne Scincare Pria Wanita Toner Exfoliasi Eksfoliasi Dark Spot [11],Berjalan,Iklan Produk,26526796059,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,2907,33,1.14%,1,1,3.03%,3.03%,29916.05,29916.05,1,1,86000,86000,29916,2.87,2.87,34.79%,34.79%,-,-,-
28,[SPECIAL OFFER] Cleora Hydro Boost Cleansing Gel | Face Wash Brightening With Niacinimide Mencerahkan Dan Memperbaiki Skin Barrier Facial Wash Skincare Wanita Pria Sabun Cuci Muka For All Skin Type [12],Berjalan,Iklan Produk,16000574543,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,2885,94,3.26%,4,2,4.26%,2.13%,16495.62,32991.23,4,2,310089,108806,65982,4.70,1.65,21.28%,60.64%,-,-,-
29,[COMBO HEMAT] Cleora Bright & Protect – Skincare Wajah  Exclusive Glow Jelly Booster Moisturizer & UV Glow Protect Shield Sunscreen Whitening Mencerahkan Melembabkan Sunblock Sun Screen Melindungi Dari Sinar Matahari UVA UVB Brightening Day Cream Wanita,Berjalan,Iklan Produk,43975847596,-,"Tahap 1: GMV Max Auto, Tahap 2: GMV Max ROAS",Semua Penempatan,08/11/2025 00:00:00,Tidak Terbatas,2874,54,1.88%,5,5,9.26%,9.26%,19469.87,19469.87,5,5,698135,698135,97349,7.17,7.17,13.94%,13.94%,-,-,-
30,[COMBO HEMAT] Cleora Brightening Set Special Bundle 2in1 - Red Saviour + 8x Hyalu Moisturizer Paket Peeling Solution Skincare Eksfoliasi Wajah Pemutih Dark Spot Wanita Pria Serum Jerawat Scincare Exfoliasi Acne Mosturizer Mencerahkan Pelembab Muka BPOM [3],Berjalan,Iklan Produk,27357205934,-,GMV Max ROAS,Semua Penempatan,04/11/2024 00:00:00,Tidak Terbatas,2791,38,1.36%,4,4,10.53%,10.53%,21502.97,21502.97,4,4,529470,529470,86012,6.16,6.16,16.24%,16.24%,-,-,-
31,[PAKET HEMAT ISI 2] Cleora Beauty Red Saviour Peeling Solution Serum | Special Bundle Eksfoliasi Wajah Berminyak Mencerahkan Muka Kusam Paket Skincare 1 Set Lengkap Pria Dan Wanita Niacinamide Scincare Mengatasi Dark Spot Mengangkat Sel Kulit Mati BPOM [3],Berjalan,Iklan Produk,22133020393,-,GMV Max ROAS,Semua Penempatan,04/11/2024 00:00:00,Tidak Terbatas,2622,35,1.33%,4,2,11.43%,5.71%,17433.64,34867.29,4,2,346396,224702,69735,4.97,3.22,20.13%,31.03%,-,-,-
32,[𝐂𝐎𝐌𝐁𝐎 𝐇𝐄𝐌𝐀𝐓] Cleora Whitening Special Bundle Glow Smooth Moisturizer + Cleora Pore Glow Exfoliating Toner 120ml - Skincare Pemutih Wajah Meratakan Warna Kulit Brightening Pelembab Mengurangi Komedo & Jerawat Paket Scincare Toner Exfoliasi Muka Eksfoliasi,Berjalan,Iklan Produk,29578383807,-,GMV Max ROAS,Semua Penempatan,07/03/2025 00:00:00,Tidak Terbatas,2514,21,0.84%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,45819,0.00,0.00,0.00%,0.00%,-,-,-
